	FIRST_IGN	STATE	year	month	day	count
541032	72	AK	2016	8	18	1
541033	72	AK	2016	6	23	1
541034	72	AK	2016	7	17	1
541035	73	AK	2016	8	28	1
541036	72	AK	2016	7	7	1
541037	72	AK	2016	7	3	1
541038	72	AK	2016	10	31	1
541039	72	AK	2016	3	17	1
541040	72	AK	2016	5	9	1
541041	72	AK	2016	6	8	1
541042	72	AK	2016	5	3	1
541043	72	AK	2016	6	8	1
541044	72	AK	2016	4	2	1
541045	72	AK	2016	4	16	1
541046	72	AK	2016	4	16	1
541047	72	AK	2016	4	25	1
541048	72	AK	2016	5	14	1
541049	72	AK	2016	5	15	1
541050	72	AK	2016	5	27	1
541051	72	AK	2016	5	30	1
541052	72	AK	2016	7	14	1
541053	72	AK	2016	7	16	1
541054	72	AK	2016	7	20	1
541055	72	AK	2016	10	16	1
541056	72	AK	2016	4	26	1
541057	72	AK	2016	7	19	1
541058	72	AK	2016	6	21	1
541059	73	AK	2016	7	20	1
541060	72	AK	2016	5	28	1
541061	72	AK	2016	3	13	1
541062	72	AK	2016	5	2	1
541063	71	AK	2016	5	7	1
541064	72	AK	2016	5	16	1
541065	72	AK	2016	10	16	1
541066	73	AK	2016	10	16	1
541067	71	AK	2016	10	18	1
541068	72	AK	2016	5	10	1
541069	72	AK	2016	10	15	1
541070	73	AK	2016	1	27	1
541071	72	AK	2016	3	5	1
541072	72	AK	2016	3	8	1
541073	72	AK	2016	3	10	1
541074	72	AK	2016	4	9	1
541075	72	AK	2016	4	11	1
541076	72	AK	2016	4	14	1
541077	72	AK	2016	4	20	1
541078	72	AK	2016	4	23	1
541079	72	AK	2016	5	24	1
541080	72	AK	2016	5	28	1
541081	72	AK	2016	6	28	1
541082	72	AK	2016	8	19	1
541083	72	AK	2016	10	16	1
541084	72	AK	2016	10	17	1
541085	72	AK	2016	2	28	1
541086	73	AK	2016	4	21	1
541087	72	AK	2016	4	23	1
541088	73	AK	2016	5	21	1
541089	73	AK	2016	7	13	1
541090	72	AK	2016	10	16	1
541091	72	AK	2016	4	24	1
541092	72	AK	2016	5	30	1
541093	72	AK	2016	2	29	1
541094	72	AK	2016	5	2	1
541095	72	AK	2016	5	4	1
541096	73	AK	2016	5	7	1
541097	73	AK	2016	8	30	1
541098	72	AK	2016	9	3	1
541099	72	AK	2016	3	5	1
541100	72	AK	2016	4	14	1
541101	72	AK	2016	3	13	1
541102	72	AK	2016	4	17	1
541103	72	AK	2016	4	23	1
541104	72	AK	2016	5	24	1
541105	72	AK	2016	8	7	1
541106	72	AK	2016	6	14	1
541107	72	AK	2016	6	22	1
541108	72	AK	2016	6	22	1
541109	72	AK	2016	7	18	1
541110	72	AK	2016	8	29	1
541111	72	AK	2016	10	12	1
541112	72	AK	2016	5	27	1
541113	72	AK	2016	7	1	1
541114	72	AK	2016	5	17	1
541115	72	AK	2016	6	3	1
541116	72	AK	2016	5	27	1
541117	72	AK	2016	6	14	1
541118	72	AK	2016	4	23	1
541119	72	AK	2016	5	1	1
541120	72	AK	2016	5	1	1
541121	72	AK	2016	5	31	1
541122	73	AK	2016	6	2	1
541123	72	AK	2016	4	18	1
541124	72	AK	2016	5	5	1
541125	72	AK	2016	5	6	1
541126	72	AK	2016	5	23	1
541127	72	AK	2016	6	1	1
541128	72	AK	2016	6	2	1
541129	73	AK	2016	5	28	1
541130	73	AK	2016	7	17	1
541131	72	AK	2016	8	9	1
541132	73	AK	2016	8	17	1
541133	72	AK	2016	4	19	1
541134	73	AK	2016	8	29	1
541135	72	AK	2016	7	16	1
541136	72	AK	2016	5	5	1
541137	71	AK	2016	10	18	1
541138	72	AK	2016	9	15	1
541139	72	AK	2016	10	18	1
541140	72	AK	2016	10	21	1
541141	72	AK	2016	5	11	1
541142	72	AK	2016	5	2	1
541143	72	AK	2016	4	30	1
541144	72	AK	2016	7	9	1
541145	72	AK	2016	6	25	1
541146	72	AK	2016	7	14	1
541147	72	AK	2016	4	25	1
541148	72	AK	2016	9	7	1
541149	72	AK	2016	4	7	1
541150	73	AK	2016	4	13	1
541151	73	AK	2016	4	14	1
541152	72	AK	2016	4	15	1
541153	73	AK	2016	4	16	1
541154	72	AK	2016	4	20	1
541155	72	AK	2016	4	23	1
541156	72	AK	2016	4	26	1
541157	72	AK	2016	4	29	1
541158	72	AK	2016	4	29	1
541159	72	AK	2016	5	1	1
541160	73	AK	2016	5	3	1
541161	72	AK	2016	5	7	1
541162	72	AK	2016	5	9	1
541163	73	AK	2016	5	11	1
541164	72	AK	2016	5	12	1
541165	73	AK	2016	5	15	1
541166	73	AK	2016	5	16	1
541167	72	AK	2016	5	17	1
541168	72	AK	2016	5	25	1
541169	72	AK	2016	5	26	1
541170	72	AK	2016	5	26	1
541171	72	AK	2016	5	28	1
541172	72	AK	2016	5	29	1
541173	73	AK	2016	5	29	1
541174	72	AK	2016	5	31	1
541175	72	AK	2016	6	1	1
541176	73	AK	2016	6	2	1
541177	72	AK	2016	6	2	1
541178	72	AK	2016	6	4	1
541179	73	AK	2016	6	6	1
541180	72	AK	2016	6	14	1
541181	72	AK	2016	6	14	1
541182	72	AK	2016	6	17	1
541183	72	AK	2016	6	17	1
541184	72	AK	2016	6	18	1
541185	73	AK	2016	6	24	1
541186	73	AK	2016	6	24	1
541187	73	AK	2016	6	25	1
541188	73	AK	2016	6	25	1
541189	73	AK	2016	6	25	1
541190	73	AK	2016	6	25	1
541191	73	AK	2016	6	25	1
541192	73	AK	2016	6	25	1
541193	73	AK	2016	6	25	1
541194	73	AK	2016	6	25	1
541195	73	AK	2016	6	26	1
541196	73	AK	2016	6	26	1
541197	73	AK	2016	6	26	1
541198	73	AK	2016	6	26	1
541199	73	AK	2016	6	26	1
541200	73	AK	2016	6	26	1
541201	73	AK	2016	6	26	1
541202	73	AK	2016	6	26	1
541203	73	AK	2016	6	26	1
541204	73	AK	2016	6	26	1
541205	73	AK	2016	6	26	1
541206	72	AK	2016	6	28	1
541207	72	AK	2016	6	28	1
541208	72	AK	2016	6	29	1
541209	73	AK	2016	6	30	1
541210	72	AK	2016	7	6	1
541211	72	AK	2016	7	12	1
541212	72	AK	2016	7	12	1
541213	73	AK	2016	7	12	1
541214	73	AK	2016	7	12	1
541215	73	AK	2016	7	13	1
541216	73	AK	2016	7	13	1
541217	73	AK	2016	7	13	1
541218	73	AK	2016	7	13	1
541219	73	AK	2016	7	13	1
541220	73	AK	2016	7	13	1
541221	73	AK	2016	7	13	1
541222	73	AK	2016	7	13	1
541223	73	AK	2016	7	13	1
541224	73	AK	2016	7	13	1
541225	73	AK	2016	7	13	1
541226	73	AK	2016	7	13	1
541227	73	AK	2016	7	13	1
541228	73	AK	2016	7	13	1
541229	73	AK	2016	7	13	1
541230	73	AK	2016	7	13	1
541231	73	AK	2016	7	13	1
541232	73	AK	2016	7	13	1
541233	73	AK	2016	7	13	1
541234	73	AK	2016	7	13	1
541235	73	AK	2016	7	13	1
541236	73	AK	2016	7	13	1
541237	72	AK	2016	7	14	1
541238	73	AK	2016	7	14	1
541239	73	AK	2016	7	14	1
541240	73	AK	2016	7	14	1
541241	73	AK	2016	7	14	1
541242	73	AK	2016	7	14	1
541243	73	AK	2016	7	14	1
541244	73	AK	2016	7	14	1
541245	73	AK	2016	7	14	1
541246	73	AK	2016	7	14	1
541247	73	AK	2016	7	14	1
541248	73	AK	2016	7	14	1
541249	73	AK	2016	7	14	1
541250	73	AK	2016	7	14	1
541251	73	AK	2016	7	14	1
541252	73	AK	2016	7	14	1
541253	73	AK	2016	7	14	1
541254	73	AK	2016	7	14	1
541255	73	AK	2016	7	14	1
541256	73	AK	2016	7	15	1
541257	73	AK	2016	7	15	1
541258	73	AK	2016	7	15	1
541259	73	AK	2016	7	15	1
541260	73	AK	2016	7	15	1
541261	73	AK	2016	7	15	1
541262	73	AK	2016	7	15	1
541263	73	AK	2016	7	15	1
541264	73	AK	2016	7	15	1
541265	73	AK	2016	7	15	1
541266	72	AK	2016	7	15	1
541267	73	AK	2016	7	15	1
541268	73	AK	2016	7	15	1
541269	73	AK	2016	7	15	1
541270	73	AK	2016	7	16	1
541271	73	AK	2016	7	17	1
541272	73	AK	2016	7	17	1
541273	73	AK	2016	7	17	1
541274	72	AK	2016	7	18	1
541275	73	AK	2016	7	19	1
541276	73	AK	2016	7	19	1
541277	73	AK	2016	7	20	1
541278	73	AK	2016	7	21	1
541279	73	AK	2016	7	25	1
541280	72	AK	2016	7	25	1
541281	73	AK	2016	7	26	1
541282	73	AK	2016	7	28	1
541283	72	AK	2016	7	28	1
541284	72	AK	2016	7	30	1
541285	72	AK	2016	8	18	1
541286	72	AK	2016	8	18	1
541287	72	AK	2016	8	21	1
541288	72	AK	2016	8	28	1
541289	72	AK	2016	8	29	1
541290	72	AK	2016	8	30	1
541291	72	AK	2016	9	3	1
