"","count"
"AK",277
"AL",2595
"AR",5542
"AZ",962
"CA",3207
"CO",1135
"CT",1255
"DC",2
"DE",331
"FL",6128
"GA",7070
"HI",64
"IA",1639
"ID",1068
"IL",4450
"IN",580
"KS",4089
"KY",3143
"LA",3486
"MA",3527
"MD",1195
"ME",464
"MI",1491
"MN",1214
"MO",3734
"MS",5426
"MT",585
"NC",7595
"ND",199
"NE",609
"NH",552
"NJ",3345
"NM",1321
"NV",291
"NY",2891
"OH",3559
"OK",5488
"OR",2202
"PA",2078
"RI",389
"SC",5656
"SD",100
"TN",5411
"TX",11138
"UT",798
"VA",3507
"VT",145
"WA",2683
"WI",1029
"WV",965
"WY",7
"Total",126617
